candidat,parti,candidat_presidentielle,retrait_candidature,nombre_mentions,mention_1,mention_2,mention_3,mention_4,mention_5,mention_6,mention_7,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population,hypothese
Valérie Pécresse,Les Républicains,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,4,10,15,17,17,13,24,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Emmanuel Macron,LRM,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,7,12,14,10,14,11,32,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Arnaud Montebourg,,True,2022-01-19,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,2,7,11,20,26,33,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Yannick Jadot,EE-LV,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,4,7,11,17,24,36,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Anne Hidalgo,Parti socialiste,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,3,7,9,17,20,43,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Fabien Roussel,Parti communiste,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,2,3,7,16,28,43,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Nicolas Dupont-Aignan,Debout la France,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,2,3,6,9,15,20,45,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Marine Le Pen,Rassemblement national,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,8,9,9,8,10,9,47,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Christiane Taubira,Walwari,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,3,3,7,10,12,17,48,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Nathalie Arthaud,Lutte ouvrière,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0,1,3,7,16,24,49,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Philippe Poutou,NPA,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,2,4,6,12,23,52,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Jean-Luc Mélenchon,France insoumise,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,4,3,7,7,12,14,53,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Eric Zemmour,Reconquête,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,6,7,6,6,7,7,61,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,26,25,35,5,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,faite-vous confiance
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,24,25,22,20,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,12,21,16,39,12,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,12,23,42,21,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,10,13,12,52,13,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,18,22,40,14,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,16,21,33,27,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,19,20,23,34,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Christiane Taubira,Walwari,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,19,18,38,20,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Philippe Poutou,NPA,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,16,18,27,35,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,15,15,19,48,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,26,26,37,5,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,faite-vous confiance
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,24,23,25,21,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,10,21,18,41,10,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,1,14,23,42,20,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,8,13,14,53,12,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,17,23,40,15,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Arnaud Montebourg,,True,2022-01-19,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,1,16,27,24,32,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,16,20,36,25,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,16,20,24,36,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Christiane Taubira,Walwari,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,17,18,39,21,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Philippe Poutou,NPA,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,14,17,30,36,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,1,11,18,20,50,0,0,20220110_0111_elb,ELABE,"Les Echos, Radio Classique",2022-01-10,2022-01-11,1465,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,8,28,26,32,6,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,faite-vous confiance
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,27,19,19,26,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,10,20,17,39,14,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,15,22,37,24,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,14,11,53,13,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,16,21,41,17,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Arnaud Montebourg,,True,2022-01-19,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,18,24,21,35,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,16,21,33,28,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,16,20,23,38,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,1,10,16,18,55,0,0,20211206_1207_elb,ELABE,"Les Echos, Radio Classique",2021-12-06,2021-12-07,1480,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,27,26,34,6,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,22,24,21,27,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,20,24,25,27,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,19,16,45,13,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,19,17,17,42,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,14,23,38,21,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,8,12,13,52,15,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,15,19,45,16,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Arnaud Montebourg,,True,2022-01-19,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,20,26,20,32,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,14,20,36,28,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,16,18,24,38,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Florian Phillipot,,True,2022-02-18,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,9,18,41,30,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Ciotti,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,11,18,27,41,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,7,15,20,56,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Phillipe Juvin,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,1,9,14,15,61,0,0,20211102_1103_elb,ELABE,"Les Echos, Radio Classique",2021-11-02,2021-11-03,1001,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,8,27,25,33,7,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,25,21,22,26,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,22,24,20,28,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,11,17,16,45,11,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,20,18,15,42,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,15,24,37,21,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,16,14,45,16,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,15,21,43,15,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Arnaud Montebourg,,True,2022-01-19,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,20,27,21,30,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,16,19,35,26,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,18,22,21,35,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Florian Philippot,,True,2022-02-18,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,12,17,40,29,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Ciotti,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,10,19,30,38,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
