candidat,parti,candidat_presidentielle,retrait_candidature,nombre_mentions,mention_1,mention_2,mention_3,mention_4,mention_5,mention_6,mention_7,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population,hypothese
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,9,15,19,54,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Philippe Juvin,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,7,15,15,61,0,0,20211005_1006_elb,ELABE,"Les Echos, Radio Classique",2021-10-05,2021-10-06,1309,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,8,29,25,32,6,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,25,22,18,29,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,23,20,22,30,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,10,16,15,46,13,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,17,17,15,47,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,19,22,32,25,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Zemmour,Reconquête,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,13,14,47,20,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,16,20,46,15,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Arnaud Montebourg,,True,2022-01-19,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,17,26,20,35,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,14,21,36,25,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,14,17,22,45,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Florian Philippot,,True,2022-02-18,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,10,16,41,30,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Eric Ciotti,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,10,18,26,44,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Fabien Roussel,Parti communiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,7,13,16,62,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Philippe Juvin,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,1,8,11,17,63,0,0,20210831_0901_elb,ELABE,"Les Echos, Radio Classique",2021-08-31,2021-09-01,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,29,26,35,5,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,27,21,17,31,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,21,23,20,31,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,16,16,45,14,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,19,17,14,47,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,18,24,32,23,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,12,24,47,14,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,15,20,35,27,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,11,19,23,44,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Florian Philippot,,True,2022-02-18,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,10,18,40,30,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Philippe Juvin,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,7,13,13,65,0,0,20210802_0803_elb,ELABE,"Les Echos, Radio Classique",2021-08-02,2021-08-03,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,29,25,34,5,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,28,20,18,28,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,24,22,20,29,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,19,14,45,13,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,19,18,13,45,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,19,24,30,23,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,13,21,47,14,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,15,24,32,25,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,15,17,22,43,0,0,20210706_0706_elb,ELABE,"Les Echos, Radio Classique",2021-07-06,2021-07-07,1003,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,29,28,30,6,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,22,21,19,33,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,6,20,20,24,30,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,10,18,12,46,14,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,21,17,11,46,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,18,22,32,25,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,13,20,45,17,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,15,21,33,27,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Yannick Jadot,EE-LV,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,14,17,21,45,0,0,20210601_0602_elb,ELABE,"Les Echos, Radio Classique",2021-06-01,2021-06-02,1002,Representatif de la population française de 18 et plus,Image positive de la personnalité
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,7,26,29,33,5,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,faite-vous confiance
Xavier Bertrand,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,25,23,17,31,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,22,23,21,30,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Marine Le Pen,Rassemblement national,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,11,17,13,47,12,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,4,18,18,14,46,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Anne Hidalgo,Parti socialiste,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,18,24,34,22,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Jean-Luc Mélenchon,France insoumise,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,5,14,21,46,14,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Arnaud Montebourg,,True,2022-01-19,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,2,16,26,25,31,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Nicolas Dupont-Aignan,Debout la France,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,3,16,20,35,26,0,0,20210504_0505_elb,ELABE,"Les Echos, Radio Classique",2021-05-04,2021-05-05,1000,Representatif de la population française de 18 et plus,Image positive de la personnalité
Edouard Philippe,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,11,47,26,10,5,1,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Roselyne Bachelot,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,7,46,27,10,9,1,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Yannick Jadot,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,33,35,9,16,3,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Eric Dupont-Moretti,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,30,33,19,12,2,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Nicolas Sarkozy,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,7,38,36,17,1,1,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Bruno Le Maire,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,39,29,11,14,2,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean Castex,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,40,29,23,5,1,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Jean-Yves Le Drian,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,36,30,7,18,3,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Martine Aubry,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,4,38,32,15,9,2,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
François Hollande,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,37,38,18,2,0,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Valérie Pécresse,Les Républicains,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,6,35,34,15,9,1,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Xavier Bertrand,Les Républicains,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,38,33,11,13,2,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Emmanuel Macron,,True,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,7,33,28,30,2,0,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Olivier Véran,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,5,33,32,19,9,2,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Michel Barnier,Les Républicains,True,2021-12-04,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,2,36,24,5,27,6,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
Ségolène Royal,,False,nan,6,excellente opinion,bonne opinion,mauvaise opinion,très mauvaise opinion,ne la connaît pas suffisamment,ne se prononce pas,nan,3,35,39,17,5,1,0,20220202_0203_ifp,IFOP,"Paris Match, Sud Radio",2022-02-02,2022-02-03,1006,Representatif de la population française de 18 et plus,Bonne opinion de la personnalité
